,0
0,-8.46
1,-4.47
2,-2.12
3,-2.32
4,-29.730000000000008
5,-2.03
6,-12.110000000000001
7,-17.78
8,-14.18
9,-3.21
10,-11.350000000000001
11,-15.25
12,-5.200000000000001
13,-12.16
14,-44.100000000000016
15,-8.08
16,-11.47
17,-16.2
18,-10.290000000000001
19,-8.07
20,-9.79
21,-9.379999999999999
22,-8.18
23,-5.88
24,-4.1899999999999995
25,-5.88
26,-10.88
27,-7.86
28,-4.96
29,-6.170000000000001
30,-14.65
31,-13.089999999999998
32,-5.67
33,-7.040000000000002
34,-11.57
35,-5.23
36,-8.97
37,-8.24
38,-11.09
39,-9.54
40,-4.11
41,-5.7700000000000005
42,-5.97
43,-8.27
44,-10.59
45,-28.45
46,-21.13
47,-9.9
48,-31.560000000000002
49,-11.790000000000001
50,-7.1
51,-7.130000000000001
52,-6.2
53,-8.280000000000001
54,-2.64
55,-14.559999999999999
56,-0.42000000000000004
57,-10.66
58,-7.300000000000001
59,-11.14
60,-2.55
61,-6.090000000000001
62,-10.770000000000001
63,-16.43
64,-11.350000000000001
65,-8.73
66,-9.11
67,-14.42
68,-16.35
69,-19.21
70,-13.08
71,-4.46
72,-4.27
73,-1.11
74,-8.9
75,-24.950000000000003
76,-11.270000000000001
77,-16.65
78,-5.85
79,-8.02
80,-29.580000000000002
81,-6.64
82,-7.26
83,-20.13
84,-20.110000000000003
85,-14.64
86,-9.96
87,-14.4
88,-4.15
89,-4.54
90,-4.0200000000000005
91,-21.979999999999997
92,-3.4499999999999997
93,-10.15
94,-6.859999999999999
95,-1.21
96,-18.38
97,-13.010000000000002
98,-23.179999999999996
99,-8.46
100,-7.28
101,-7.770000000000001
102,-13.52
103,-2.2
104,-0.33999999999999997
105,-17.269999999999996
106,-0.38
107,-7.57
108,-3.97
109,-9.73
110,-15.040000000000001
111,-28.29
112,-13.31
113,-14.190000000000001
114,-15.629999999999999
115,-11.459999999999997
116,-9.54
117,-5.789999999999999
118,-23.250000000000004
119,-6.079999999999999
120,-8.940000000000001
121,-22.01
122,-40.02
123,-13.65
124,-11.389999999999999
125,-9.86
126,-14.42
127,-9.15
128,-10.47
129,-9.21
130,-3.76
131,-7.380000000000001
132,-7.34
133,-5.599999999999999
134,-13.900000000000002
135,-15.259999999999998
136,-14.420000000000002
137,-1.21
138,-7.03
139,-8.77
140,-16.37
141,-6.790000000000001
142,-13.709999999999999
143,-2.9099999999999997
144,-2.15
145,-22.01
146,-26.61
147,-13.64
148,-12.75
149,-40.5
150,-0.03
151,-6.6000000000000005
152,-6.6
153,-18.92
154,-9.000000000000002
155,-10.129999999999999
156,-9.57
157,0.0
158,-23.5
159,-16.419999999999998
160,-8.040000000000001
161,-10.580000000000002
162,-21.229999999999997
163,-21.950000000000006
164,-3.37
165,-11.040000000000001
166,-10.940000000000001
167,0.0
168,-2.5
169,-0.04
170,0.0
171,-0.16999999999999998
172,-19.009999999999998
173,-20.200000000000006
174,-0.01
175,-0.05
176,0.0
177,-5.640000000000001
178,-0.02
179,-34.449999999999996
180,-7.35
181,-2.73
182,0.0
183,-7.9
184,-6.19
185,-1.13
186,-13.339999999999998
187,-13.55
188,-7.420000000000001
189,0.0
190,0.0
191,-5.720000000000001
192,-0.6699999999999999
193,-14.679999999999996
194,0.0
195,-0.12000000000000001
196,-10.420000000000002
197,0.0
198,-23.56
199,-3.02
200,-3.6500000000000004
201,-9.82
202,-0.13
203,0.0
204,0.0
205,-10.52
206,0.0
207,0.0
208,0.0
209,0.0
210,-27.41
211,-14.52
212,-17.55
213,-7.15
214,-7.069999999999999
215,-6.96
216,-6.119999999999999
217,-12.360000000000001
218,0.0
219,0.0
220,0.0
221,-18.95
222,-12.820000000000002
223,-6.110000000000001
224,-4.53
225,-14.779999999999998
226,-10.700000000000001
227,-0.24
228,-10.820000000000002
229,-7.910000000000001
230,0.0
231,-1.61
232,-7.359999999999999
233,-0.44999999999999996
234,0.0
235,-7.3500000000000005
236,-9.000000000000002
237,0.0
238,-12.54
239,-14.150000000000002
240,-0.13
241,0.0
242,-1.13
243,-17.49
244,0.0
245,-3.4499999999999997
246,0.0
247,0.0
248,0.0
249,-0.14
250,0.0
251,-4.300000000000001
252,-0.78
253,-11.980000000000002
254,-4.94
255,-19.98
256,-8.31
257,-13.630000000000003
258,-20.67
259,-14.569999999999999
260,-3.51
261,0.0
262,0.0
263,-32.83
264,0.0
265,-38.260000000000005
266,0.0
267,-5.780000000000001
268,0.0
269,-18.919999999999998
270,0.0
271,-6.890000000000001
272,-11.2
273,-13.730000000000002
274,-4.28
275,-5.140000000000001
276,0.0
277,-0.41000000000000003
278,0.0
279,-0.060000000000000005
280,-14.019999999999998
281,-13.81
282,-11.36
283,0.0
284,0.0
285,-8.57
286,-17.750000000000004
287,0.0
288,0.0
289,-10.549999999999999
290,0.0
291,-7.579999999999999
292,-5.53
293,-8.81
294,-8.31
295,-5.610000000000001
296,-11.870000000000003
297,-42.43
298,-10.179999999999998
299,-15.18
300,0.0
301,-8.42
302,0.0
303,0.0
304,-19.2
305,-6.37
306,0.0
307,-8.16
308,-28.85
309,0.0
310,0.0
311,0.0
312,-2.36
313,0.0
314,-20.91
315,-12.24
316,-2.64
317,-10.31
318,-10.740000000000002
319,-8.809999999999999
320,0.0
321,-5.35
322,-5.94
323,0.0
324,0.0
325,0.0
326,-10.649999999999999
327,-0.78
328,-17.28
329,-7.699999999999999
330,-15.76
331,-8.77
332,-3.21
333,-24.25
334,-9.349999999999998
335,-1.71
336,-15.9
337,-27.01
338,-1.43
339,0.0
340,0.0
341,-5.760000000000001
342,-2.4899999999999998
343,-9.64
344,0.0
345,-8.09
346,-2.02
347,0.0
348,-20.14
349,-14.790000000000001
350,-5.5
351,-11.95
352,0.0
353,-3.51
354,-14.41
355,0.0
356,-2.14
357,-17.639999999999997
358,-0.1
359,0.0
360,-8.34
361,-0.12000000000000001
362,-13.12
363,-4.4
364,-4.959999999999999
365,-5.900000000000001
366,0.0
367,-5.340000000000002
368,0.0
369,0.0
370,-14.59
371,-27.77
372,-28.959999999999994
373,-7.500000000000001
374,-25.2
375,-8.420000000000002
376,0.0
377,-11.040000000000001
378,0.0
379,0.0
380,0.0
381,-10.380000000000003
382,-3.3099999999999996
383,-0.73
384,-8.190000000000003
385,-23.03
386,0.0
387,0.0
388,-15.19
389,-0.26
390,-1.1199999999999999
391,-13.389999999999999
392,-1.3699999999999999
393,-15.79
394,-10.979999999999999
395,-0.07
396,-5.73
397,-13.32
398,-0.5900000000000001
399,0.0
400,-7.3
401,-7.42
402,-14.670000000000002
403,-4.370000000000001
404,0.0
405,0.0
406,0.0
407,-6.37
408,-0.39
409,-18.030000000000005
410,-7.85
411,-14.29
412,-1.45
413,-7.11
414,-7.9
415,-19.66
416,0.0
417,-16.259999999999998
418,-5.050000000000001
419,-9.39
420,-1.75
421,-8.360000000000001
422,-0.1
423,-17.94
424,-16.11
425,-4.92
426,-7.1400000000000015
427,-14.71
428,0.0
429,0.0
430,0.0
431,-0.21000000000000002
432,-7.659999999999999
433,-10.34
434,-20.220000000000002
435,0.0
436,-4.550000000000001
437,-6.11
438,-23.330000000000002
439,-14.310000000000002
440,-4.279999999999999
441,-11.299999999999999
442,-17.75
443,-11.719999999999999
444,0.0
445,-9.96
446,-8.37
447,-11.059999999999999
448,-11.069999999999999
449,-5.470000000000001
450,-14.0
451,0.0
452,-6.5600000000000005
453,-7.659999999999999
454,-0.05
