,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,-3.38
6,-4.119999999999999
7,-4.11
8,-6.54
9,0.0
10,-3.86
11,-7.969999999999997
12,-1.0299999999999998
13,-31.62
14,-9.23
15,-8.980000000000002
16,-10.55
17,-2.5900000000000007
18,-24.980000000000004
19,-19.999999999999996
20,-34.37999999999999
21,-37.319999999999986
22,-17.069999999999993
23,-20.94
24,-0.11
25,-39.37999999999999
26,-37.71999999999999
27,-17.759999999999998
28,-25.33
29,-47.790000000000006
30,-39.06999999999999
31,-35.84
32,-32.019999999999996
33,-21.990000000000006
34,-28.28
35,-40.46
36,-52.089999999999996
37,-37.500000000000014
38,-26.719999999999995
39,-51.82
40,-17.51
41,-53.679999999999986
42,-50.720000000000034
43,-45.71
44,-47.240000000000016
45,-53.29
46,-47.01
47,-53.48
48,-42.60000000000001
49,-51.58
50,-54.20999999999999
51,-37.60000000000001
52,-52.61
53,-52.98999999999999
54,-42.52
55,-32.839999999999996
56,-31.810000000000002
57,-43.37000000000001
58,-50.43999999999998
59,-51.27000000000001
60,-52.199999999999996
61,-46.59999999999999
62,-51.95000000000002
63,-44.20999999999999
64,-38.38000000000001
65,-46.18
66,-44.89
67,-45.339999999999975
68,-43.35000000000001
69,-40.93999999999999
70,-40.949999999999996
71,-46.39000000000001
72,-51.09000000000002
73,-49.45
74,-41.91000000000002
75,-42.78
76,-43.040000000000006
77,-39.79000000000003
78,-35.510000000000005
79,-42.74000000000001
80,-44.68999999999999
81,-33.040000000000006
82,-34.480000000000004
83,-28.64000000000002
84,-35.13000000000002
85,-39.26000000000001
86,-36.69999999999999
87,-36.20999999999999
88,-41.370000000000005
89,-42.42999999999999
90,-44.04000000000001
91,-43.73
92,-39.30999999999998
93,-39.48000000000001
94,-48.739999999999995
95,-43.74999999999999
96,-34.87000000000001
97,-37.8
98,-41.13000000000003
99,-46.45
100,-44.449999999999996
101,-41.260000000000026
102,-39.99999999999999
103,-47.81999999999999
104,-48.76000000000003
105,-42.390000000000015
106,-44.68999999999999
107,-28.800000000000004
108,-43.839999999999996
109,-47.01000000000001
110,-47.35999999999998
111,-41.1
112,-48.21000000000001
113,-39.69999999999999
114,-39.76999999999999
115,-39.76000000000001
116,-40.37
117,-44.18999999999999
118,-38.21999999999999
119,-50.440000000000005
120,-37.400000000000006
121,-42.07
122,-37.07999999999999
123,-39.64999999999998
124,-50.78000000000001
125,-45.370000000000005
126,-34.44000000000002
127,-38.77
128,-41.65000000000001
129,-2.3000000000000003
130,-51.07000000000002
131,-42.93999999999998
132,-29.239999999999995
133,-49.03
134,-40.55
135,-42.50999999999999
136,-38.66000000000002
137,-37.58000000000001
138,-50.24
139,-43.27999999999998
140,-41.14000000000001
141,-21.25999999999999
142,-45.309999999999995
143,-38.720000000000006
144,-47.769999999999996
145,-36.35000000000001
146,-49.44000000000002
147,-51.309999999999995
148,-49.81
149,-48.63999999999997
150,-45.949999999999996
151,-50.97999999999998
152,-46.609999999999985
153,-42.730000000000004
154,-43.809999999999995
155,-41.829999999999984
156,-43.279999999999994
157,-46.54
158,-38.71000000000001
159,-37.80999999999999
160,-47.449999999999996
161,-43.73000000000002
162,-42.96
163,-39.05000000000001
164,-33.81999999999999
165,-49.31
166,-43.199999999999996
167,-37.75000000000002
168,-48.70000000000002
169,-29.960000000000004
170,-37.0
171,-38.73000000000001
172,-38.44
173,-27.989999999999988
174,-38.97000000000002
175,-30.08
176,-51.68
177,-4.779999999999999
178,-46.91
179,-43.04000000000002
180,-33.370000000000005
181,-28.059999999999995
182,-13.15
183,-25.359999999999996
184,-41.60000000000001
185,-46.87999999999998
186,-47.150000000000006
187,-36.389999999999986
188,-42.730000000000004
189,-45.87999999999999
190,-35.18000000000002
191,-41.54000000000001
192,-28.94999999999999
193,-36.74
194,-31.449999999999996
195,-35.57
196,-41.089999999999996
197,-45.71999999999999
198,-43.609999999999964
199,-46.900000000000006
200,-37.599999999999994
201,-35.80000000000001
202,-40.449999999999996
203,-42.81999999999998
204,-30.619999999999994
205,-33.82000000000002
206,-40.67999999999999
207,-35.30000000000001
208,-40.20000000000001
209,-43.56000000000002
210,-28.229999999999997
211,-40.03999999999999
212,-40.64000000000001
213,-46.690000000000005
214,-34.95000000000002
215,-34.290000000000006
216,-43.68999999999999
217,-48.40999999999998
218,-40.02999999999999
219,-38.73000000000001
220,-43.47000000000002
221,-45.690000000000026
222,-45.519999999999996
223,-45.410000000000004
224,-43.03
225,-46.920000000000016
226,-30.900000000000006
227,-42.21000000000001
228,-34.120000000000005
229,-39.92999999999999
230,-40.010000000000005
231,-38.66999999999998
232,-41.12000000000002
233,-43.599999999999994
234,-44.25
235,-44.97000000000001
236,-43.07000000000001
237,-42.05
238,-42.76000000000001
239,-31.019999999999996
240,-41.00000000000001
241,-41.070000000000014
242,-41.07
243,-29.270000000000007
244,-45.59000000000001
245,-44.360000000000014
246,-33.23
247,-26.88
248,-48.06000000000002
249,-40.44000000000002
250,-45.970000000000006
251,-44.150000000000006
252,-41.15999999999999
253,-43.25
254,-27.660000000000007
255,-39.0
256,-47.76
257,-38.69
258,-42.93
259,-44.919999999999995
260,-44.910000000000004
261,-38.47
262,-39.00000000000001
263,-39.919999999999995
264,-45.39
265,-35.7
266,-45.60999999999999
267,-47.98000000000001
268,-52.61000000000001
269,-44.259999999999984
270,-32.98
271,-33.20000000000002
272,-42.99999999999998
273,-41.91000000000001
274,-42.29000000000003
275,-41.41000000000001
276,-43.940000000000005
277,-47.949999999999996
278,-43.53999999999999
279,-44.92999999999999
280,-41.710000000000015
281,-39.69000000000001
282,-44.81999999999999
283,-28.74
284,-35.769999999999996
285,-33.64
286,-48.90999999999999
287,-48.36
288,-38.600000000000016
289,-34.71000000000001
290,-39.33000000000002
291,-45.379999999999995
292,-38.889999999999986
293,-33.24000000000002
294,-43.490000000000016
295,-33.49000000000002
296,-38.75000000000001
297,-41.370000000000005
298,-38.629999999999995
299,-1.0300000000000002
300,-40.19999999999998
301,-33.3
302,-38.33000000000001
303,-20.410000000000004
304,-34.94000000000001
305,-34.96999999999999
306,-3.4700000000000006
307,-46.149999999999984
308,-37.62000000000001
309,-47.58
310,-42.08
311,-43.41000000000001
312,-44.96999999999998
313,-46.72
314,-42.500000000000014
315,-37.339999999999996
316,-49.1
317,-43.72999999999999
318,-34.430000000000014
319,-36.359999999999985
320,-35.209999999999994
321,-37.690000000000005
322,-48.85
323,-50.010000000000005
324,-38.58000000000001
325,-35.91999999999999
326,-41.010000000000005
327,-30.02000000000001
328,-37.29
329,-30.800000000000008
330,-36.95
331,-36.51000000000001
332,-45.149999999999984
333,0.0
334,-36.53999999999999
335,-43.71
336,-36.81000000000002
337,-32.03999999999999
338,-52.62999999999998
339,-43.529999999999994
340,-17.640000000000015
341,-39.48000000000001
