,0
0,-104.29
1,-101.55
2,-100.49999999999999
3,-98.94
4,-114.43999999999998
5,-97.93
6,-106.10999999999994
7,-108.80000000000003
8,-107.23999999999997
9,-102.94000000000003
10,-112.71999999999998
11,-102.94999999999997
12,-102.15000000000002
13,-78.50999999999999
14,-103.66
15,-96.40000000000003
16,-102.96999999999998
17,-107.2
18,-92.16000000000003
19,-86.02000000000001
20,-78.54
21,-73.37
22,-90.31999999999998
23,-77.72000000000001
24,-106.38000000000001
25,-55.529999999999994
26,-73.10999999999997
27,-89.94000000000001
28,-85.96
29,-55.77999999999999
30,-73.41
31,-73.51999999999997
32,-76.32999999999998
33,-85.64000000000001
34,-83.91999999999999
35,-42.89999999999999
36,-51.47000000000004
37,-63.48000000000001
38,-82.56999999999998
39,-42.02
40,-84.69999999999997
41,-41.97000000000001
42,-60.430000000000014
43,-33.93999999999999
44,-61.289999999999985
45,-54.38
46,-65.49999999999999
47,-47.24999999999997
48,-39.75000000000001
49,-59.03
50,-50.09
51,-71.34
52,-39.200000000000024
53,-56.00000000000002
54,-64.49
55,-78.89999999999998
56,-66.05999999999999
57,-57.15000000000001
58,-40.510000000000005
59,-61.099999999999994
60,-31.139999999999986
61,-15.080000000000004
62,-29.630000000000003
63,-19.85
64,-16.579999999999995
65,-23.50999999999999
66,-23.799999999999986
67,-32.03999999999999
68,-21.60999999999999
69,-18.13
70,-11.620000000000003
71,-24.939999999999998
72,-24.249999999999975
73,-40.96999999999999
74,-13.359999999999994
75,-16.340000000000003
76,-13.24
77,-7.6199999999999966
78,-7.899999999999997
79,-15.729999999999997
80,-46.570000000000014
81,-5.689999999999999
82,-3.509999999999996
83,-2.9699999999999984
84,-5.679999999999998
85,-6.099999999999995
86,-4.529999999999998
87,-11.799999999999999
88,-7.6599999999999975
89,-9.639999999999995
90,-14.79
91,-14.659999999999995
92,-2.6599999999999984
93,-8.329999999999998
94,-5.169999999999995
95,-26.789999999999992
96,-2.5900000000000003
97,-25.75000000000001
98,-13.669999999999991
99,-8.569999999999997
100,-7.169999999999998
101,-10.880000000000004
102,-4.1899999999999915
103,-18.550000000000008
104,-8.02
105,-36.79
106,-14.86000000000001
107,-21.97
108,-26.199999999999996
109,-18.750000000000007
110,-26.409999999999997
111,-57.60000000000001
112,-29.96999999999999
113,-25.569999999999993
114,-9.639999999999997
115,-33.58
116,-26.450000000000003
117,-4.279999999999991
118,-23.889999999999993
119,-14.540000000000006
120,-11.990000000000006
121,-18.99
122,-11.709999999999999
123,-11.060000000000004
124,-16.32
125,-20.14
126,-5.689999999999997
127,-32.650000000000006
128,-11.140000000000006
129,-95.78999999999998
130,-10.779999999999998
131,-6.459999999999994
132,-58.27999999999998
133,-58.84
134,-7.109999999999998
135,-3.4899999999999918
136,-9.31
137,-58.690000000000005
138,-6.029999999999994
139,-6.439999999999997
140,-12.419999999999998
141,-70.36000000000003
142,-3.7499999999999964
143,-3.7899999999999987
144,-4.0699999999999905
145,-18.83
146,-13.760000000000003
147,-19.34
148,-12.200000000000005
149,-45.429999999999986
150,-8.529999999999992
151,-12.970000000000006
152,-13.559999999999995
153,-3.3099999999999987
154,-15.000000000000002
155,-16.200000000000003
156,-23.100000000000005
157,-11.900000000000011
158,-8.97
159,-7.229999999999997
160,-5.779999999999992
161,-9.459999999999996
162,-21.739999999999995
163,-8.52
164,-23.15999999999999
165,-45.239999999999995
166,-61.800000000000004
167,-10.219999999999995
168,-59.57999999999999
169,-81.78
170,-70.50999999999998
171,-52.730000000000004
172,-53.41000000000002
173,-73.27
174,-10.790000000000004
175,-84.63000000000002
176,-39.529999999999994
177,-100.37000000000003
178,-51.49000000000001
179,-54.289999999999985
180,-3.709999999999995
181,-67.00999999999999
182,-84.15999999999998
183,-65.85
184,-50.22999999999999
185,-42.580000000000005
186,-7.089999999999997
187,-29.820000000000004
188,-5.829999999999996
189,-12.209999999999997
190,-14.950000000000003
191,-29.86
192,-57.99999999999999
193,-2.649999999999998
194,-8.160000000000004
195,-15.940000000000007
196,-3.019999999999994
197,-4.689999999999993
198,-3.989999999999993
199,-15.689999999999994
