,0
0,-62.779999999999994
1,-57.79
2,-54.260000000000005
3,-53.300000000000004
4,-80.25000000000003
5,-54.60000000000001
6,-67.87
7,-72.47000000000001
8,-70.96
9,-56.39
10,-67.67
11,-71.09
12,-58.68999999999999
13,-65.48
14,-83.78000000000002
15,-63.18000000000001
16,-67.62
17,-69.98
18,-64.45
19,-63.02000000000001
20,-67.27999999999999
21,-64.12
22,-62.23
23,-57.03999999999999
24,-59.64999999999999
25,-59.849999999999994
26,-65.64
27,-62.129999999999995
28,-60.23999999999999
29,-59.79999999999999
30,-65.58
31,-67.99000000000002
32,-55.760000000000005
33,-61.45999999999998
34,-59.64999999999999
35,-59.31999999999999
36,-63.39
37,-63.19000000000001
38,-61.81
39,-63.53000000000001
40,-51.99000000000002
41,-60.54
42,-62.990000000000016
43,-64.60999999999999
44,-64.33
45,-73.66999999999999
46,-73.25999999999999
47,-56.850000000000016
48,-83.25
49,-57.379999999999995
50,-62.97000000000002
51,-41.599999999999994
52,-45.03000000000001
53,-63.57000000000001
54,-51.330000000000005
55,-64.74000000000001
56,-48.65
57,-51.27
58,-57.36000000000001
59,-58.48000000000001
60,-43.18000000000001
61,-40.32000000000001
62,-36.730000000000004
63,-51.300000000000004
64,-37.730000000000004
65,-45.41999999999999
66,-45.099999999999994
67,-39.74000000000001
68,-51.91000000000001
69,-48.52
70,-49.92999999999999
71,-33.57000000000001
72,-30.21
73,-37.69999999999999
74,-32.739999999999995
75,-46.96
76,-44.11999999999999
77,-31.08
78,-37.430000000000014
79,-34.26999999999999
80,-59.82
81,-32.29
82,-54.63999999999997
83,-29.769999999999996
84,-41.08000000000001
85,-26.19
86,-28.819999999999997
87,-30.92
88,-34.79999999999999
89,-33.339999999999996
90,-24.310000000000002
91,-12.79
92,-38.489999999999995
93,-15.349999999999993
94,-17.06
95,-26.48
96,-42.96000000000001
97,-33.39
98,-8.210000000000003
99,-26.87
100,-22.47
101,-23.380000000000003
102,-44.39999999999999
103,-12.290000000000003
104,-24.599999999999998
105,-42.86999999999999
106,-27.84
107,-13.220000000000004
108,-12.440000000000003
109,-18.350000000000005
110,-7.65
111,-21.100000000000005
112,-54.67
113,-12.040000000000008
114,-11.800000000000006
115,-16.499999999999996
116,-11.490000000000004
117,-15.279999999999994
118,-15.229999999999999
