,0
0,-50.36
1,-45.96
2,-44.96
3,-43.949999999999996
4,-69.00999999999999
5,-45.36
6,-55.26999999999999
7,-59.290000000000006
8,-57.970000000000006
9,-44.63000000000001
10,-57.65
11,-58.15
12,-46.44
13,-55.839999999999996
14,-74.79999999999998
15,-50.93999999999998
16,-52.870000000000005
17,-59.45
18,-57.890000000000015
19,-51.269999999999996
20,-54.870000000000005
21,-54.12
22,-52.07
23,-42.71
24,-50.1
25,-47.6
26,-48.459999999999994
27,-49.97
28,-50.86000000000002
29,-47.260000000000005
30,-54.580000000000005
31,-55.23
32,-48.96
33,-49.29
34,-55.49999999999999
35,-49.31
36,-53.43
37,-50.76000000000001
38,-55.85000000000002
39,-54.05
40,-47.00000000000001
41,-50.51
42,-50.910000000000004
43,-49.879999999999995
44,-54.38000000000001
45,-63.96000000000001
46,-60.12
47,-53.579999999999984
48,-72.07
49,-56.64
50,-53.26999999999999
51,-49.62000000000001
52,-48.849999999999994
53,-51.080000000000005
54,-46.00000000000001
55,-54.789999999999985
56,-37.86999999999999
57,-52.34999999999999
58,-48.65999999999999
59,-54.01999999999999
60,-43.18000000000001
61,-48.160000000000004
62,-52.33000000000002
63,-47.86
64,-55.50999999999999
65,-40.260000000000005
66,-44.53
67,-46.57000000000001
68,-45.02
69,-47.11999999999999
70,-39.61
71,-36.559999999999995
72,-31.909999999999997
73,-28.330000000000002
74,-29.629999999999995
75,-57.53
76,-51.01999999999998
77,-42.580000000000005
78,-31.729999999999997
79,-42.98999999999999
80,-44.28000000000001
81,-38.290000000000006
82,-38.58
83,-52.72000000000001
84,-49.91
85,-38.03000000000001
86,-48.92
87,-59.62
88,-36.199999999999996
89,-39.849999999999994
90,-45.529999999999994
91,-40.64
92,-49.35000000000001
93,-34.589999999999996
94,-40.720000000000006
95,-39.529999999999994
96,-44.59
97,-55.51
98,-59.99999999999999
99,-46.420000000000016
100,-47.760000000000005
101,-50.98000000000002
102,-46.96999999999998
103,-29.88
104,-34.540000000000006
105,-46.7
106,-32.32
107,-49.899999999999984
108,-47.43000000000002
109,-31.889999999999997
110,-58.239999999999995
111,-36.580000000000005
112,-40.269999999999996
113,-41.18999999999999
114,-54.769999999999975
115,-56.41000000000001
116,-33.07000000000001
117,-36.85000000000001
118,-35.0
119,-42.489999999999995
120,-32.230000000000004
121,-25.619999999999997
122,-38.66
123,-54.92999999999999
124,-25.599999999999998
125,-29.979999999999993
126,-38.220000000000006
127,-40.61000000000001
128,-43.61999999999999
129,-44.72
130,-34.339999999999996
131,-48.919999999999995
132,-47.52999999999999
133,-31.919999999999998
134,-39.55999999999999
135,-47.400000000000006
136,-44.18999999999999
137,-28.579999999999995
138,-36.81999999999999
139,-36.699999999999996
140,-52.95
141,-21.869999999999994
142,-41.019999999999996
143,-47.010000000000005
144,-34.21000000000001
145,-26.559999999999995
146,-41.649999999999984
147,-34.35
148,-41.25000000000001
149,-42.86
150,-22.490000000000006
151,-31.279999999999998
152,-28.65
153,-50.38999999999999
154,-34.23
155,-34.0
156,-35.99000000000001
157,-23.449999999999996
158,-23.209999999999997
159,-20.919999999999998
160,-42.56000000000001
161,-21.26000000000001
162,-23.680000000000003
163,-21.11000000000001
164,-14.639999999999993
165,-27.519999999999992
166,-24.799999999999994
167,-15.930000000000001
168,-31.49000000000001
169,-11.350000000000003
170,-30.729999999999993
171,-30.930000000000007
172,-16.659999999999993
173,-22.470000000000002
174,-18.390000000000008
175,-36.52000000000001
176,-35.599999999999994
177,-36.41
178,-13.08
179,-42.27
180,-10.600000000000005
181,-13.169999999999998
182,-14.049999999999995
183,-17.98
184,-12.629999999999999
185,-39.47
186,-13.790000000000001
187,-16.099999999999998
188,-16.67
189,-11.110000000000001
190,-17.75
191,-15.189999999999998
192,-9.520000000000001
193,-32.529999999999994
194,-5.78
195,-15.439999999999998
196,-13.360000000000003
197,-1.580000000000001
198,-4.61
199,-4.09
200,-27.67000000000001
201,-7.5100000000000025
202,-8.610000000000001
203,-10.270000000000001
204,-6.930000000000002
205,-5.07
206,-10.469999999999999
207,-4.69
208,-11.81
209,-9.19
210,-16.52
211,-7.070000000000001
212,-23.220000000000006
213,-11.839999999999996
214,-8.139999999999999
215,-8.870000000000005
216,-9.49
217,0.0
218,-12.870000000000001
219,-2.8799999999999994
220,-8.510000000000002
221,-5.62
