,0
0,-92.05000000000001
1,-89.44999999999999
2,-88.56
3,-87.34
4,-101.54000000000002
5,-88.82
6,-97.28
7,-99.44999999999997
8,-100.51
9,-91.15999999999997
10,-103.69000000000001
11,-97.75
12,-90.78
13,-95.85000000000002
14,-85.10000000000002
15,-92.32
16,-95.67
17,-87.08000000000001
18,-91.91999999999999
19,-92.52
20,-90.77
21,-91.55999999999997
22,-88.82999999999997
23,-74.69000000000003
24,-88.57000000000002
25,-80.64
26,-93.61000000000001
27,-94.35000000000001
28,-63.730000000000004
29,-68.6
30,-73.62000000000005
31,-84.24000000000004
32,-65.69000000000001
33,-51.160000000000004
34,-81.14
35,-51.81
36,-61.41
37,-54.65
38,-95.46000000000001
39,-96.61
40,-67.3
41,-75.49000000000001
42,-74.73999999999998
43,-36.0
44,-37.410000000000004
45,-56.41000000000002
46,-53.87
47,-48.849999999999994
48,-37.029999999999994
49,-42.26
50,-55.03999999999999
51,-42.20000000000001
52,-54.31
53,-51.22999999999999
54,-44.85000000000001
55,-48.81000000000002
56,-64.42999999999998
57,-33.209999999999994
58,-12.270000000000001
59,-61.64000000000002
60,-40.37
61,-43.889999999999986
62,-44.72999999999998
63,-55.80000000000001
64,-58.889999999999986
65,-67.63
66,-15.490000000000002
67,-57.739999999999995
68,-69.21000000000001
69,-65.79
70,-23.42000000000001
71,-15.390000000000004
72,-14.549999999999992
73,-4.259999999999993
74,-9.179999999999996
75,-43.099999999999994
76,-19.320000000000014
77,-6.559999999999996
78,-10.899999999999991
79,-17.849999999999987
80,-6.02
81,-4.689999999999992
82,-17.660000000000004
83,-2.4399999999999995
84,-3.0299999999999967
85,-2.9599999999999924
86,-3.309999999999996
87,-4.349999999999995
88,-30.579999999999984
89,-6.009999999999993
90,-10.979999999999999
91,-3.17999999999999
92,-13.129999999999999
93,-3.25999999999999
94,-3.309999999999993
95,-13.91000000000001
96,-3.029999999999997
97,-4.969999999999994
98,-2.9699999999999935
99,-4.29999999999999
100,-20.199999999999992
101,-6.819999999999994
102,-5.419999999999992
103,-13.500000000000007
104,-5.579999999999995
105,-4.019999999999993
106,-13.630000000000017
107,-9.680000000000003
108,-5.119999999999993
109,-28.64000000000001
110,-12.860000000000008
111,-10.920000000000005
112,-3.0599999999999943
113,-4.799999999999993
114,-3.4699999999999958
115,-7.759999999999998
116,-11.86000000000001
117,-21.280000000000005
118,-8.099999999999996
119,-23.479999999999986
120,-9.600000000000001
121,-10.039999999999994
122,-19.979999999999993
123,-4.119999999999998
124,-31.60999999999998
125,-23.729999999999993
126,-4.689999999999995
127,-10.260000000000002
128,-2.6099999999999954
129,-8.479999999999999
130,-4.0999999999999925
131,-4.979999999999994
132,-6.299999999999992
133,-39.41
134,-4.189999999999993
135,-9.159999999999998
136,-23.039999999999992
137,-6.599999999999997
138,-3.7799999999999914
139,-4.749999999999996
140,-4.679999999999994
141,-3.12999999999999
142,-6.32
143,-5.399999999999994
144,-11.020000000000005
145,-3.359999999999993
146,-2.8699999999999948
147,-10.03999999999999
148,-3.509999999999994
149,-24.139999999999997
150,-5.259999999999994
151,-10.759999999999994
152,-17.33
153,-2.6899999999999977
154,-6.089999999999993
155,-23.470000000000002
156,-6.999999999999993
157,-12.369999999999996
158,-9.19
159,-3.649999999999994
160,-8.429999999999994
161,-5.579999999999993
162,-7.32
163,-2.9399999999999955
164,-4.809999999999994
165,-3.139999999999994
166,-5.239999999999992
167,-14.930000000000005
168,-2.619999999999998
169,-3.559999999999994
170,-9.64
171,-3.9299999999999935
172,-3.499999999999996
173,-5.409999999999999
174,-15.609999999999996
175,-4.639999999999993
176,-29.49
177,-12.559999999999993
178,-2.6299999999999955
179,-4.359999999999998
180,-3.509999999999992
181,-4.149999999999991
182,-25.259999999999994
183,-3.879999999999995
184,-48.21000000000001
185,-48.08999999999998
186,-14.249999999999996
187,-21.230000000000008
188,-29.11
189,-19.939999999999998
190,-13.660000000000002
191,-9.39
192,-21.15999999999999
193,-7.59
194,-12.289999999999997
195,-3.599999999999996
196,-17.149999999999995
197,-6.9699999999999935
198,-4.4199999999999955
199,-4.829999999999993
200,-13.579999999999997
201,-27.259999999999984
202,-21.91
203,-16.23000000000001
204,-9.769999999999996
205,-80.05
206,-52.279999999999994
207,-82.61000000000004
208,-34.99999999999999
209,-32.78000000000001
210,-46.35
211,-2.7999999999999954
212,-36.680000000000014
213,-7.4599999999999955
214,-44.36
215,-64.6
216,-40.93999999999999
217,-5.829999999999996
218,-20.180000000000003
219,-71.30000000000001
220,-50.9
221,-2.4799999999999964
222,-3.6499999999999946
223,-43.60999999999999
224,-46.43999999999999
225,-17.18000000000001
226,-4.179999999999995
227,-10.510000000000002
228,-9.259999999999996
229,-8.719999999999995
230,-3.7699999999999974
231,-3.2799999999999967
232,-3.9299999999999926
233,-4.989999999999994
234,-5.359999999999996
235,-13.230000000000015
236,-10.070000000000002
237,-4.239999999999991
238,-3.499999999999995
239,-2.949999999999997
240,-2.689999999999995
241,-5.459999999999993
242,-25.950000000000003
243,-57.47
244,-12.84000000000001
245,-4.029999999999993
246,-23.580000000000005
247,-9.229999999999993
248,-2.2199999999999998
249,-4.399999999999994
250,-4.619999999999989
251,-3.0499999999999927
