,0
0,-0.17
1,-0.16
2,-0.16
3,-0.28
4,-0.44
5,-0.16
6,-0.17
7,-0.16
8,-0.11
9,-0.1
10,-0.11
11,-0.18
12,-0.1
13,-0.11
14,-1.1400000000000001
15,-0.1
16,-0.11
17,-0.18
18,-0.11
19,-0.18
20,-0.11
21,-0.1
22,-0.11
23,-0.30000000000000004
24,-0.1
25,-0.11
26,-0.11
27,-0.1
28,-0.11
29,-0.12
30,-0.25
31,-0.27
32,-0.12
33,-0.16
34,-0.12
35,-0.1
36,-0.26
37,-0.13
38,-0.25
39,-0.18
40,-0.12
41,-0.24000000000000002
42,-0.16
43,-0.24
44,-0.44
45,-0.9700000000000001
46,-0.66
47,-0.24
48,-0.44
49,-0.22
50,-0.2
51,-0.22
52,-0.24
53,-0.24
54,-0.22
55,-0.24
56,-0.42
57,-0.26
58,-0.24
59,-0.24
60,-0.24999999999999997
61,-0.26
62,-0.24999999999999997
63,-0.42
64,-0.24
65,-0.23
66,-0.24
67,-0.23
68,-0.4
69,-0.22
70,-0.28
71,-0.07
72,-0.07
73,-0.07
74,-0.35
75,-0.36
76,-0.16999999999999998
77,-0.16999999999999998
78,-0.32
79,-0.16
80,-0.59
81,-0.16999999999999998
82,-0.16999999999999998
83,-0.16999999999999998
84,-0.16999999999999998
85,-0.16999999999999998
86,-0.08
87,-0.14
88,-0.14
89,-0.16
90,-0.16999999999999998
91,-0.57
92,-0.16
93,-0.16
94,-0.15000000000000002
95,-0.31000000000000005
96,-0.36
97,-0.16
98,-0.18
99,-0.33999999999999997
100,-0.16999999999999998
101,-0.16999999999999998
102,-0.33999999999999997
103,-0.16
104,-0.07
105,-0.33999999999999997
106,-0.08
107,-0.18
108,-0.07
109,-0.18
110,-0.16
111,-0.55
112,-0.08
113,-0.07
114,-0.18
115,-0.18
116,-0.16999999999999998
117,-0.12
118,-0.37
119,-0.13
120,-0.13
121,-0.34
122,-1.14
123,-0.26
124,-0.51
125,-0.31
126,-0.19
127,-0.18
128,-0.21000000000000002
129,-0.21000000000000002
130,-0.19
131,-0.12
132,-0.22000000000000003
133,-0.18
134,-0.44
135,-0.34
136,-0.24
137,-0.16999999999999998
138,-0.26
139,-0.23
140,-0.46
141,-0.24
142,-0.16
143,-0.18
144,-0.24
145,-0.6900000000000001
146,-0.36
147,-0.43
148,-0.4
149,-0.67
150,-0.23
151,-0.66
152,-0.13
153,-0.26
154,-0.2
155,-0.26
156,-0.45
157,-0.86
158,-0.13
159,-0.45
160,-0.16999999999999998
161,-0.18
162,-0.2
163,-0.42
164,-0.23
165,-0.24999999999999997
166,-0.42
167,-0.24
168,-0.21000000000000002
169,-0.26
170,-0.44
171,-0.21
172,-0.26
173,-0.22
174,-0.13
175,-0.38
176,-0.19
177,-0.5900000000000001
178,-0.24999999999999997
179,-0.8500000000000001
180,-0.1
181,-0.19
182,-0.24
183,-0.22999999999999998
184,-0.2
185,-0.34
186,-0.45
187,-0.26
188,-0.24
189,-0.13
190,-0.2
191,-0.22
192,-0.24999999999999997
193,-0.22
194,-0.44
195,-0.13
196,-0.44
197,-0.11
198,-0.9400000000000001
199,-0.43
200,-0.21000000000000002
201,-0.19
202,-0.11
203,-0.1
204,-0.42
205,-0.22
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,-0.03
216,-0.12
217,-0.08
218,-0.08
219,-0.08
220,0.0
221,-0.12000000000000001
222,0.0
223,0.0
224,-0.03
225,-0.4
226,0.0
227,-0.16
228,-0.03
229,0.0
230,-0.05
231,-0.16999999999999998
232,-0.07
233,-0.1
234,-0.15000000000000002
235,0.0
236,-0.42
237,-0.21
238,-0.24
239,0.0
240,-0.2
241,0.0
242,0.0
243,-0.04
244,-0.03
245,-0.03
246,0.0
247,-0.21
248,0.0
249,0.0
250,-0.03
251,-0.19
252,0.0
253,0.0
254,0.0
255,-0.17
256,-0.16
257,-0.42
258,0.0
259,-0.14
260,-0.03
261,0.0
262,-0.24
263,0.0
264,-0.14
265,-0.8399999999999999
266,0.0
267,-0.15000000000000002
268,0.0
269,-0.03
270,-0.14
271,0.0
272,-0.12
273,0.0
274,0.0
275,0.0
276,-0.07
277,0.0
278,0.0
279,-0.48
280,-0.22
281,-0.13
282,-0.14
283,0.0
284,0.0
285,-0.16
286,0.0
287,0.0
288,-0.01
289,-0.01
290,-0.19
291,0.0
292,-0.11000000000000001
293,-0.18000000000000002
294,-0.02
295,0.0
296,-0.24000000000000002
297,-0.56
298,-0.7100000000000001
299,-0.01
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,-0.1
306,0.0
307,-0.09
308,0.0
309,-0.37
310,0.0
311,-0.16
312,-0.12000000000000001
313,0.0
314,-0.22
315,0.0
316,-0.08
317,0.0
318,-0.28
319,0.0
320,-0.11
321,-0.14
322,-0.1
323,0.0
324,-0.1
325,-0.26
326,0.0
327,-0.27
328,0.0
329,0.0
330,-0.17
331,-0.16999999999999998
332,0.0
333,-0.28
334,-0.22
335,0.0
336,0.0
337,-0.01
338,-0.03
339,-0.09999999999999999
340,-0.18
341,-0.05
342,-0.13
343,0.0
344,0.0
345,-0.11
346,-0.07
347,-0.2
348,-0.56
349,0.0
350,-0.09
351,-0.08
352,-0.060000000000000005
353,-0.15000000000000002
354,-0.06
355,0.0
356,-0.1
